Empty_Lines,Lines_Of_Comments,Lines_Of_Program,Physic_Lines,n1_Number_Of_Distinct_Operators,n2_Number_Of_Distinct_Operands,n_Program_Vocabulary,N1_Total_Number_Of_Operators,N2_Total_Number_Of_Operands,N_Program_Length,B_Number_of_Delivered_Bugs_1,B_Number_of_Delivered_Bugs_2,D_Difficulty,E_Effort,T_Time_Required_To_Program,V_Volume,_N_Calculated_Program_Length,McCab_Number,IsVulnerable
0,0,8,8,4,11,15,21,39,60,0.000333,0.078138,6,1406.480614,78.137812,234.413436,46.053748,1,5
0,0,28,28,19,52,71,148,98,246,0.000333,0.504279,9,13615.54012,756.418896,1512.837791,377.133488,12,5
0,0,27,27,19,52,71,145,97,242,0.000333,0.49608,9,13394.14923,744.119401,1488.238803,377.133488,11,5
0,0,26,26,18,47,65,115,86,201,0.000333,0.403499,9,10894.46337,605.247965,1210.49593,336.124326,11,5
0,0,28,28,18,49,67,127,99,226,0.000333,0.456979,18,24676.85083,1370.936157,1370.936157,350.179432,9,5
0,0,26,26,19,47,66,115,88,203,0.000333,0.409004,9,11043.10806,613.506003,1227.012006,341.776299,9,5
0,0,27,27,20,47,67,118,90,208,0.000333,0.420582,10,12617.46552,700.970306,1261.746552,347.504238,9,5
0,0,8,8,4,11,15,21,39,60,0.000333,0.078138,6,1406.480614,78.137812,234.413436,46.053748,1,5
0,0,10,10,12,17,29,32,34,66,0.000333,0.106876,12,3847.520948,213.751164,320.626746,112.506418,2,5
0,0,11,11,13,19,32,42,39,81,0.000333,0.135,12,4860,270,405,128.816339,2,5
0,0,2,2,4,8,12,6,9,15,0.000333,0.017925,2,107.548875,5.974938,53.774438,32,1,5
0,0,9,9,11,17,28,28,28,56,0.000333,0.089737,5,1346.059378,74.781077,269.211876,107.540616,2,5
0,0,12,12,12,20,32,36,45,81,0.000333,0.135,12,4860,270,405,129.458112,2,5
0,0,7,7,11,16,27,24,22,46,0.000333,0.072908,5,1093.624125,60.756896,218.724825,102.053748,2,5
0,0,9,9,12,18,30,30,24,54,0.000333,0.088324,6,1589.832553,88.324031,264.972092,118.0782,4,5
0,0,9,9,12,16,28,30,24,54,0.000333,0.086532,6,1557.582995,86.532389,259.597166,107.01955,4,5
0,0,9,9,11,18,29,30,26,56,0.000333,0.090682,5,1360.234679,75.568593,272.046936,113.112398,4,5
0,0,3,3,5,9,14,6,12,18,0.000333,0.022844,2,137.064777,7.61471,68.532389,40.138965,1,5
0,0,10,10,13,18,31,34,35,69,0.000333,0.113947,6,2051.037273,113.946515,341.839545,123.164366,2,5
0,0,29,29,18,49,67,127,102,229,0.000333,0.463045,18,25004.41964,1389.134425,1389.134425,350.179432,9,5
0,0,28,28,18,48,66,119,102,221,0.000333,0.44527,18,24044.59981,1335.8111,1335.8111,343.13685,9,5
0,0,12,12,11,20,31,42,42,84,0.000333,0.138717,10,4161.524901,231.195828,416.15249,124.49231,2,5
0,0,29,29,18,50,68,121,105,226,0.000333,0.458589,18,24763.79884,1375.766602,1375.766602,357.25146,9,5
0,0,9,9,13,17,30,31,28,59,0.000333,0.096502,6,1737.039271,96.502182,289.506545,117.592585,2,5
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3,161.323313,8.962406,53.774438,31.01955,1,5
0,0,27,27,18,48,66,119,95,214,0.000333,0.431167,9,11641.50307,646.750171,1293.500342,343.13685,9,5
0,0,10,10,12,18,30,33,29,62,0.000333,0.101409,6,1825.363302,101.409072,304.227217,118.0782,3,5
0,0,2,2,4,8,12,6,9,15,0.000333,0.017925,2,107.548875,5.974938,53.774438,32,1,5
0,0,27,27,19,47,66,117,94,211,0.000333,0.425122,18,22956.60887,1275.367159,1275.367159,341.776299,9,5
0,0,10,10,14,19,33,42,35,77,0.000333,0.129473,7,2718.92843,151.051579,388.418347,134.013592,4,5
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4,990.3519,55.01955,247.587975,88,3,5
0,0,7,7,10,12,22,24,22,46,0.000333,0.068378,5,1025.669272,56.981626,205.133854,76.238831,2,5
0,0,7,7,9,12,21,23,22,45,0.000333,0.065885,4,790.617136,43.923174,197.654284,71.548875,2,5
0,0,7,7,9,11,20,23,21,44,0.000333,0.063388,4,760.659345,42.258852,190.164836,66.583073,2,5
0,0,7,7,9,11,20,23,21,44,0.000333,0.063388,4,760.659345,42.258852,190.164836,66.583073,2,5
0,0,6,6,8,11,19,20,20,40,0.000333,0.056639,4,679.668402,37.759356,169.917101,62.053748,1,5
0,0,5,5,7,10,17,11,12,23,0.000333,0.031337,3,282.034936,15.668608,94.011645,52.870765,2,5
0,0,24,24,18,44,62,104,85,189,0.000333,0.375114,9,10128.08792,562.671551,1125.343103,315.273641,8,5
0,0,24,24,19,44,63,105,79,184,0.000333,0.366607,9,9898.375553,549.909753,1099.819506,320.925614,8,5
0,0,23,23,18,43,61,103,78,181,0.000333,0.357821,9,9661.171123,536.731729,1073.463458,308.388034,7,5
0,0,23,23,18,43,61,100,78,178,0.000333,0.35189,9,9501.041215,527.835623,1055.671246,308.388034,7,5
0,0,24,24,18,46,64,103,83,186,0.000333,0.372,9,10044,558,1116,329.1425,7,5
0,0,24,24,20,43,63,105,80,185,0.000333,0.368599,10,11057.96786,614.331548,1105.796786,319.767946,7,5
0,0,23,23,19,43,62,102,78,180,0.000333,0.357252,9,9645.798023,535.877668,1071.755336,314.040007,7,5
0,0,7,7,11,16,27,24,22,46,0.000333,0.072908,5,1093.624125,60.756896,218.724825,102.053748,2,5
0,0,9,9,11,16,27,30,24,54,0.000333,0.085588,5,1283.819626,71.323313,256.763925,102.053748,4,5
0,0,3,3,5,9,14,6,12,18,0.000333,0.022844,2,137.064777,7.61471,68.532389,40.138965,1,5
0,0,10,10,7,14,21,22,36,58,0.000333,0.084918,6,1528.526463,84.918137,254.754411,72.954453,1,5
0,0,8,8,10,14,24,20,28,48,0.000333,0.073359,10,2200.782,122.265667,220.0782,86.52225,1,5
0,0,23,23,18,43,61,102,74,176,0.000333,0.347937,9,9394.287943,521.904886,1043.809771,308.388034,9,5
0,0,10,10,11,13,24,24,36,60,0.000333,0.091699,10,2750.9775,152.832083,275.09775,86.159464,1,5
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3,161.323313,8.962406,53.774438,31.01955,1,5
0,0,5,5,7,11,18,11,13,24,0.000333,0.033359,3,300.2346,16.6797,100.0782,57.705232,2,5
0,0,24,24,20,44,64,131,87,218,0.000333,0.436,10,13080,726.666667,1308,326.653553,9,5
0,0,31,31,19,56,75,161,108,269,0.000333,0.558517,9,15079.97005,837.776114,1675.552228,405.922498,14,5
0,0,30,30,19,56,75,158,107,265,0.000333,0.550212,9,14855.73258,825.318476,1650.636953,405.922498,13,5
0,0,27,27,20,44,64,137,87,224,0.000333,0.448,10,13440,746.666667,1344,326.653553,9,5
0,0,27,27,19,44,63,137,87,224,0.000333,0.446304,9,12050.19633,669.455351,1338.910703,320.925614,9,5
0,0,5,5,7,9,16,11,12,23,0.000333,0.030667,3,276,15.333333,92,48.180809,2,5
0,0,4,4,6,9,15,8,11,19,0.000333,0.024744,3,222.692764,12.37182,74.230921,44.0391,1,5
0,0,5,5,7,10,17,11,12,23,0.000333,0.031337,3,282.034936,15.668608,94.011645,52.870765,2,5
0,0,5,5,7,10,17,11,13,24,0.000333,0.0327,3,294.297325,16.349851,98.099108,52.870765,2,5
0,0,29,29,21,48,69,145,106,251,0.000333,0.51108,20,30664.79277,1703.599599,1533.239639,360.316866,9,5
0,0,12,12,10,17,27,34,28,62,0.000333,0.098268,5,1474.015126,81.889729,294.803025,102.706149,3,5
0,0,6,6,8,10,18,15,17,32,0.000333,0.044479,4,533.7504,29.6528,133.4376,57.219281,1,5
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4,990.3519,55.01955,247.587975,88,3,5
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4,990.3519,55.01955,247.587975,88,3,5
0,0,10,10,8,16,24,29,26,55,0.000333,0.084058,4,1008.69175,56.038431,252.172938,88,3,5
0,0,4,4,6,9,15,8,11,19,0.000333,0.024744,3,222.692764,12.37182,74.230921,44.0391,1,5
0,0,9,9,8,15,23,26,24,50,0.000333,0.075393,4,904.712391,50.2618,226.178098,82.603359,2,5
0,0,7,7,8,10,18,17,19,36,0.000333,0.050039,4,600.4692,33.3594,150.1173,57.219281,1,5
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4,990.3519,55.01955,247.587975,88,3,5
0,0,30,30,19,56,75,158,107,265,0.000333,0.550212,9,14855.73258,825.318476,1650.636953,405.922498,13,5
0,0,32,32,22,58,80,168,115,283,0.000333,0.596369,11,19680.16216,1093.342342,1789.105651,437.870393,14,5
0,0,31,31,19,56,75,161,108,269,0.000333,0.558517,9,15079.97005,837.776114,1675.552228,405.922498,14,5
0,0,31,31,20,57,77,161,108,269,0.000333,0.561922,10,16857.65579,936.536433,1685.765579,418.913293,14,5
0,0,32,32,19,57,76,164,113,277,0.000333,0.576892,9,15576.08329,865.337961,1730.675921,413.185354,13,5
0,0,32,32,19,57,76,164,119,283,0.000333,0.589388,18,31826.94275,1768.163486,1768.163486,413.185354,13,5
0,0,32,32,20,57,77,165,113,278,0.000333,0.580722,10,17421.66658,967.870366,1742.166658,418.913293,13,5
0,0,11,11,9,11,20,26,21,47,0.000333,0.06771,4,812.522482,45.140138,203.13062,66.583073,3,5
0,0,31,31,19,57,76,161,108,269,0.000333,0.560231,9,15126.23251,840.346251,1680.692501,413.185354,14,5
0,0,31,31,19,57,76,161,109,270,0.000333,0.562313,9,15182.46386,843.470214,1686.940429,413.185354,14,5
0,0,2,2,6,9,15,8,10,18,0.000333,0.023441,3,210.972092,11.720672,70.324031,44.0391,1,5
0,0,7,7,7,13,20,15,22,37,0.000333,0.053304,3,479.734019,26.65189,159.91134,67.757201,1,5
0,0,10,10,8,17,25,29,26,55,0.000333,0.085137,4,1021.648362,56.758242,255.41209,93.486868,3,5
0,0,6,6,6,10,16,12,17,29,0.000333,0.038667,3,348,19.333333,116,48.729056,1,5
0,0,10,10,8,16,24,29,25,54,0.000333,0.082529,4,990.3519,55.01955,247.587975,88,3,5
0,0,7,7,7,11,18,16,24,40,0.000333,0.055599,6,1000.782,55.599,166.797,57.705232,2,5
0,0,8,8,8,12,20,22,26,48,0.000333,0.069151,8,1659.620388,92.201133,207.452549,67.01955,1,5
0,0,7,7,8,11,19,17,18,35,0.000333,0.049559,4,594.709852,33.039436,148.677463,62.053748,2,5
0,0,33,33,19,55,74,163,133,296,0.000333,0.612666,18,33083.96753,1837.998196,1837.998196,398.685407,11,5
0,0,27,27,19,46,65,136,89,225,0.000333,0.451678,9,12195.29482,677.516379,1355.032758,334.794473,9,5
0,0,29,29,21,46,67,144,95,239,0.000333,0.483265,20,28995.90633,1610.883685,1449.795317,346.322516,9,5
0,0,29,29,20,53,73,152,103,255,0.000333,0.526135,10,15784.05263,876.891813,1578.405263,390.018346,11,5
0,0,29,29,19,55,74,152,104,256,0.000333,0.529873,9,14306.58055,794.810031,1589.620062,398.685407,11,5
0,0,21,21,18,42,60,96,72,168,0.000333,0.330786,9,8931.218581,496.17881,992.35762,301.535982,7,5
0,0,8,8,8,12,20,26,28,54,0.000333,0.077795,8,1867.072937,103.726274,233.384117,67.01955,1,5
0,0,31,31,19,54,73,157,121,278,0.000333,0.57359,18,30973.88209,1720.771227,1720.771227,391.474548,11,5
0,0,29,29,21,47,68,145,92,237,0.000333,0.48091,10,14427.28693,801.515941,1442.728693,353.304342,10,5
0,0,30,30,20,53,73,152,101,253,0.000333,0.522009,10,15660.25613,870.01423,1566.025613,390.018346,12,5
0,0,28,28,19,53,72,148,98,246,0.000333,0.505934,9,13660.21395,758.900775,1517.80155,384.290407,12,5
0,0,28,28,19,54,73,148,99,247,0.000333,0.509629,9,13759.97999,764.443333,1528.886666,391.474548,12,5
0,0,28,28,19,53,72,148,98,246,0.000333,0.505934,9,13660.21395,758.900775,1517.80155,384.290407,12,5
0,0,30,30,21,53,74,153,101,254,0.000333,0.525734,10,15772.01155,876.222864,1577.201155,395.81845,12,5
0,0,28,28,19,54,73,148,99,247,0.000333,0.509629,9,13759.97999,764.443333,1528.886666,391.474548,12,5
0,0,28,28,19,53,72,148,98,246,0.000333,0.505934,9,13660.21395,758.900775,1517.80155,384.290407,12,5
0,0,28,28,19,53,72,148,98,246,0.000333,0.505934,9,13660.21395,758.900775,1517.80155,384.290407,12,5
0,0,23,23,18,42,60,102,74,176,0.000333,0.346538,9,9356.514703,519.806372,1039.612745,301.535982,9,5
0,0,7,7,10,13,23,18,26,44,0.000333,0.066346,10,1990.367261,110.575959,199.036726,81.324997,1,5
0,0,23,23,18,44,62,102,76,178,0.000333,0.353282,9,9538.622489,529.923472,1059.846943,315.273641,9,5
0,0,23,23,18,43,61,102,74,176,0.000333,0.347937,9,9394.287943,521.904886,1043.809771,308.388034,9,5
0,0,23,23,18,43,61,102,74,176,0.000333,0.347937,9,9394.287943,521.904886,1043.809771,308.388034,9,5
0,0,2,2,6,9,15,8,10,18,0.000333,0.023441,3,210.972092,11.720672,70.324031,44.0391,1,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,31,31,20,50,70,153,99,252,0.000333,0.51486,10,15445.7932,858.099622,1544.57932,368.631371,12,5
0,0,31,31,19,49,68,153,99,252,0.000333,0.511347,18,27612.73145,1534.040636,1534.040636,355.831405,12,5
0,0,31,31,19,51,70,153,100,253,0.000333,0.516903,9,13956.37743,775.354302,1550.708603,370.004315,12,5
0,0,31,31,19,51,70,153,100,253,0.000333,0.516903,9,13956.37743,775.354302,1550.708603,370.004315,12,5
0,0,32,32,22,50,72,159,105,264,0.000333,0.542953,22,35834.92441,1990.829134,1628.8602,380.300305,12,5
0,0,9,9,6,12,18,22,33,55,0.000333,0.076449,6,1376.07525,76.448625,229.345875,58.529325,1,5
0,0,8,8,7,11,18,20,25,45,0.000333,0.062549,6,1125.87975,62.548875,187.646625,57.705232,1,5
0,0,8,8,4,11,15,21,39,60,0.000333,0.078138,6,1406.480614,78.137812,234.413436,46.053748,1,5
0,0,32,32,19,50,69,156,104,260,0.000333,0.529405,18,28587.89446,1588.216359,1588.216359,362.903432,11,5
0,0,7,7,7,11,18,18,19,37,0.000333,0.051429,3,462.861675,25.714538,154.287225,57.705232,1,5
0,0,3,3,6,9,15,7,10,17,0.000333,0.022139,3,199.25142,11.069523,66.41714,44.0391,1,5
0,0,11,11,6,13,19,27,43,70,0.000333,0.099118,9,2676.194333,148.677463,297.354926,63.615491,1,5
0,0,27,27,18,50,68,116,93,209,0.000333,0.424093,9,11450.5176,636.139867,1272.279734,357.25146,9,5
0,0,8,8,7,12,19,18,26,44,0.000333,0.062303,6,1121.452864,62.302937,186.908811,62.671034,2,5
0,0,8,8,8,12,20,19,20,39,0.000333,0.056185,4,674.220783,37.45671,168.555196,67.01955,2,5
0,0,7,7,8,11,19,17,19,36,0.000333,0.050975,4,611.701562,33.98342,152.92539,62.053748,1,5
0,0,7,7,6,11,17,14,19,33,0.000333,0.044962,3,404.658821,22.481046,134.886274,53.563523,1,5
0,0,8,8,7,14,21,17,24,41,0.000333,0.060028,3,540.255043,30.014169,180.085014,72.954453,1,5
0,0,8,8,8,11,19,19,21,40,0.000333,0.056639,4,679.668402,37.759356,169.917101,62.053748,1,5
0,0,7,7,7,11,18,16,19,35,0.000333,0.048649,3,437.842125,24.324563,145.947375,57.705232,1,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,24,24,21,51,72,124,92,216,0.000333,0.444235,10,13327.038,740.391,1332.7038,381.532358,10,5
0,0,23,23,18,51,69,117,86,203,0.000333,0.413343,9,11160.27418,620.015232,1240.030465,364.352342,10,5
0,0,23,23,18,51,69,117,86,203,0.000333,0.413343,9,11160.27418,620.015232,1240.030465,364.352342,10,5
0,0,23,23,18,49,67,117,85,202,0.000333,0.40845,9,11028.15015,612.675008,1225.350016,350.179432,10,5
0,0,23,23,18,50,68,117,85,202,0.000333,0.409889,9,11067.00745,614.833747,1229.667494,357.25146,10,5
0,0,23,23,18,50,68,117,85,202,0.000333,0.409889,9,11067.00745,614.833747,1229.667494,357.25146,10,5
0,0,25,25,20,51,71,126,89,215,0.000333,0.440732,10,13221.95631,734.553128,1322.195631,375.732254,10,5
0,0,25,25,19,50,69,121,88,209,0.000333,0.425561,9,11490.1345,638.340806,1276.681611,362.903432,10,5
0,0,7,7,7,11,18,16,15,31,0.000333,0.043089,3,387.803025,21.544613,129.267675,57.705232,3,5
0,0,7,7,7,11,18,16,17,33,0.000333,0.045869,3,412.822575,22.934588,137.607525,57.705232,3,5
0,0,7,7,7,10,17,16,15,31,0.000333,0.042237,3,380.134044,21.118558,126.711348,52.870765,3,5
0,0,5,5,6,10,16,10,13,23,0.000333,0.030667,3,276,15.333333,92,48.729056,1,5
0,0,21,21,16,48,64,111,80,191,0.000333,0.382,8,9168,509.333333,1146,332.0782,9,5
0,0,26,26,18,46,64,115,84,199,0.000333,0.398,9,10746,597,1194,329.1425,11,5
0,0,26,26,18,48,66,115,86,201,0.000333,0.404974,9,10934.30896,607.461609,1214.923218,343.13685,11,5
0,0,30,30,20,47,67,125,90,215,0.000333,0.434736,10,13042.09176,724.560653,1304.209176,347.504238,11,5
0,0,26,26,18,48,66,115,86,201,0.000333,0.404974,9,10934.30896,607.461609,1214.923218,343.13685,11,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,24,24,18,50,68,122,97,219,0.000333,0.444385,9,11998.38926,666.577181,1333.154362,357.25146,9,5
0,0,22,22,18,49,67,114,84,198,0.000333,0.400362,9,10809.77094,600.54283,1201.08566,350.179432,9,5
0,0,33,33,19,58,77,170,122,292,0.000333,0.609967,18,32938.23006,1829.90167,1829.90167,420.47352,13,5
0,0,30,30,19,50,69,149,99,248,0.000333,0.504971,9,13634.22659,757.457033,1514.914065,362.903432,11,5
0,0,34,34,19,59,78,179,126,305,0.000333,0.639016,18,34506.85818,1917.047677,1917.047677,427.786563,13,5
0,0,34,34,19,60,79,170,129,299,0.000333,0.628277,18,33926.94799,1884.830444,1884.830444,435.124058,13,5
0,0,34,34,19,58,77,175,126,301,0.000333,0.628768,18,33953.44948,1886.302749,1886.302749,420.47352,13,5
0,0,30,30,19,50,69,148,102,250,0.000333,0.509044,18,27488.36006,1527.131114,1527.131114,362.903432,11,5
0,0,29,29,22,46,68,146,95,241,0.000333,0.489026,22,32275.72798,1793.095999,1467.078545,352.191346,10,5
0,0,27,27,19,45,64,137,88,225,0.000333,0.45,9,12150,675,1350,327.844012,9,5
0,0,28,28,20,46,66,140,89,229,0.000333,0.461389,10,13841.66253,768.981252,1384.166253,340.522412,10,5
0,0,28,28,19,45,64,140,89,229,0.000333,0.458,9,12366,687,1374,327.844012,10,5
0,0,29,29,19,46,65,143,94,237,0.000333,0.475767,18,25691.42109,1427.301172,1427.301172,334.794473,9,5
0,0,30,30,19,46,65,149,96,245,0.000333,0.491827,18,26558.64206,1475.480114,1475.480114,334.794473,9,5
0,0,29,29,19,48,67,144,95,239,0.000333,0.483265,9,13048.15785,724.897658,1449.795317,348.788823,9,5
0,0,21,21,21,47,68,111,82,193,0.000333,0.391627,10,11748.80328,652.711294,1174.880328,353.304342,8,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,21,21,18,46,64,110,80,190,0.000333,0.38,9,10260,570,1140,329.1425,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,21,21,19,46,65,110,81,191,0.000333,0.383424,9,10352.45027,575.136126,1150.272252,334.794473,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,28,28,19,45,64,140,89,229,0.000333,0.458,9,12366,687,1374,327.844012,10,5
0,0,8,8,10,13,23,30,26,56,0.000333,0.08444,10,2533.194695,140.733039,253.31947,81.324997,3,5
0,0,7,7,7,12,19,18,15,33,0.000333,0.046727,3,420.544824,23.363601,140.181608,62.671034,3,5
0,0,7,7,7,10,17,18,15,33,0.000333,0.044962,3,404.658821,22.481046,134.886274,52.870765,3,5
0,0,28,28,19,46,65,140,90,230,0.000333,0.461715,9,12466.30137,692.572298,1385.144597,334.794473,10,5
0,0,28,28,19,46,65,140,89,229,0.000333,0.459707,9,12412.10006,689.561115,1379.122229,334.794473,10,5
0,0,8,8,8,12,20,21,20,41,0.000333,0.059066,4,708.796208,39.377567,177.199052,67.01955,2,5
0,0,8,8,7,12,19,20,26,46,0.000333,0.065135,6,1172.427994,65.134889,195.404666,62.671034,2,5
0,0,27,27,19,45,64,137,88,225,0.000333,0.45,9,12150,675,1350,327.844012,9,5
0,0,8,8,7,14,21,19,24,43,0.000333,0.062957,3,566.608948,31.478275,188.869649,72.954453,1,5
0,0,19,19,18,42,60,101,71,172,0.000333,0.338662,9,9143.866642,507.992591,1015.985182,301.535982,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,18,18,16,44,60,98,70,168,0.000333,0.330786,8,7938.86096,441.047831,992.35762,304.214991,7,5
0,0,19,19,18,45,63,101,74,175,0.000333,0.348675,9,9414.21588,523.011993,1046.023987,322.192039,7,5
0,0,7,7,7,12,19,18,17,35,0.000333,0.049559,3,446.032389,24.779577,148.677463,62.671034,3,5
0,0,7,7,7,12,19,18,17,35,0.000333,0.049559,3,446.032389,24.779577,148.677463,62.671034,3,5
0,0,10,10,8,17,25,29,26,55,0.000333,0.085137,4,1021.648362,56.758242,255.41209,93.486868,3,5
0,0,18,18,10,17,27,57,44,101,0.000333,0.160081,10,4802.436377,266.802021,480.243638,102.706149,4,5
0,0,12,12,9,17,26,33,28,61,0.000333,0.095576,4,1146.907291,63.717072,286.726823,98.016193,3,5
0,0,9,9,8,15,23,26,24,50,0.000333,0.075393,4,904.712391,50.2618,226.178098,82.603359,2,5
0,0,11,11,11,17,28,35,31,66,0.000333,0.105762,5,1586.427124,88.13484,317.285425,107.540616,3,5
0,0,10,10,9,16,25,29,25,54,0.000333,0.083589,4,1003.072937,55.726274,250.768234,92.529325,3,5
0,0,10,10,9,16,25,29,25,54,0.000333,0.083589,4,1003.072937,55.726274,250.768234,92.529325,3,5
0,0,10,10,8,17,25,29,26,55,0.000333,0.085137,4,1021.648362,56.758242,255.41209,93.486868,3,5
0,0,7,7,6,11,17,16,19,35,0.000333,0.047687,3,429.183598,23.843533,143.061199,53.563523,1,5
0,0,7,7,8,11,19,19,19,38,0.000333,0.053807,4,645.684982,35.871388,161.421246,62.053748,1,5
0,0,7,7,7,12,19,16,17,33,0.000333,0.046727,3,420.544824,23.363601,140.181608,62.671034,3,5
0,0,26,26,18,47,65,115,84,199,0.000333,0.399484,9,10786.06075,599.225597,1198.451195,336.124326,11,5
0,0,24,24,18,46,64,109,82,191,0.000333,0.382,9,10314,573,1146,329.1425,9,5
0,0,26,26,18,47,65,115,84,199,0.000333,0.399484,9,10786.06075,599.225597,1198.451195,336.124326,11,5
0,0,26,26,18,47,65,115,84,199,0.000333,0.399484,9,10786.06075,599.225597,1198.451195,336.124326,11,5
0,0,26,26,18,47,65,115,84,199,0.000333,0.399484,9,10786.06075,599.225597,1198.451195,336.124326,11,5
0,0,27,27,19,48,67,118,89,207,0.000333,0.41856,9,11301.12416,627.840231,1255.680462,348.788823,10,5
0,0,24,24,18,46,64,109,82,191,0.000333,0.382,9,10314,573,1146,329.1425,9,5
0,0,27,27,21,48,69,127,95,222,0.000333,0.452031,10,13560.92429,753.384683,1356.092429,360.316866,11,5
0,0,26,26,18,46,64,115,84,199,0.000333,0.398,9,10746,597,1194,329.1425,11,5
0,0,26,26,18,48,66,115,86,201,0.000333,0.404974,9,10934.30896,607.461609,1214.923218,343.13685,11,5
0,0,26,26,18,48,66,115,86,201,0.000333,0.404974,9,10934.30896,607.461609,1214.923218,343.13685,11,5
0,0,9,9,8,13,21,30,30,60,0.000333,0.087846,8,2108.312363,117.128465,263.539045,72.105716,1,5
0,0,2,2,4,8,12,6,9,15,0.000333,0.017925,2,107.548875,5.974938,53.774438,32,1,5
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3,161.323313,8.962406,53.774438,31.01955,1,5
0,0,13,13,17,21,38,42,47,89,0.000333,0.155689,16,7473.048779,415.169377,467.065549,161.725534,2,5
0,0,10,10,15,20,35,34,37,71,0.000333,0.121393,7,2549.253659,141.625203,364.179094,145.041921,2,5
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4,773.047866,42.947104,193.261967,71.548875,2,5
0,0,7,7,9,12,21,23,21,44,0.000333,0.064421,4,773.047866,42.947104,193.261967,71.548875,2,5
0,0,7,7,7,12,19,18,17,35,0.000333,0.049559,3,446.032389,24.779577,148.677463,62.671034,3,5
0,0,12,12,9,14,23,38,25,63,0.000333,0.094995,4,1139.937613,63.329867,284.984403,81.832294,3,5
0,0,11,11,8,11,19,26,21,47,0.000333,0.066551,4,798.610373,44.367243,199.652593,62.053748,3,5
0,0,7,7,7,11,18,18,15,33,0.000333,0.045869,3,412.822575,22.934588,137.607525,57.705232,3,5
0,0,11,11,9,11,20,28,21,49,0.000333,0.070591,4,847.097907,47.060995,211.774477,66.583073,3,5
0,0,7,7,7,12,19,18,17,35,0.000333,0.049559,3,446.032389,24.779577,148.677463,62.671034,3,5
0,0,23,23,18,43,61,102,74,176,0.000333,0.347937,9,9394.287943,521.904886,1043.809771,308.388034,9,5
0,0,2,2,6,6,12,6,9,15,0.000333,0.017925,3,161.323313,8.962406,53.774438,31.01955,1,5
0,0,2,2,6,9,15,8,10,18,0.000333,0.023441,3,210.972092,11.720672,70.324031,44.0391,1,5
