Empty_Lines,Lines_Of_Comments,Lines_Of_Program,Physic_Lines,n1_Number_Of_Distinct_Operators,n2_Number_Of_Distinct_Operands,n_Program_Vocabulary,N1_Total_Number_Of_Operators,N2_Total_Number_Of_Operands,N_Program_Length,B_Number_of_Delivered_Bugs_1,B_Number_of_Delivered_Bugs_2,D_Difficulty,E_Effort,T_Time_Required_To_Program,V_Volume,_N_Calculated_Program_Length,McCab_Number,IsVulnerable
0,0,18,18,18,26,44,116,66,182,0.000333,0.331206,18,17885.09798,993.616555,993.616555,197.270083,8,6
0,0,18,18,18,26,44,117,67,184,0.000333,0.334845,18,18081.63752,1004.535418,1004.535418,197.270083,8,6
0,0,18,18,18,26,44,116,66,182,0.000333,0.331206,18,17885.09798,993.616555,993.616555,197.270083,8,6
0,0,18,18,18,26,44,117,67,184,0.000333,0.334845,18,18081.63752,1004.535418,1004.535418,197.270083,8,6
0,0,18,18,18,26,44,116,66,182,0.000333,0.331206,18,17885.09798,993.616555,993.616555,197.270083,8,6
0,0,18,18,18,26,44,117,67,184,0.000333,0.334845,18,18081.63752,1004.535418,1004.535418,197.270083,8,6
0,0,30,30,16,27,43,170,108,278,0.000333,0.502834,32,48272.05126,2681.780625,1508.501602,192.381963,16,6
0,0,29,29,16,27,43,164,105,269,0.000333,0.486555,24,35031.96526,1946.220292,1459.665219,192.381963,15,6
0,0,28,28,16,27,43,158,102,260,0.000333,0.470276,24,33859.89207,1881.105115,1410.828836,192.381963,14,6
0,0,30,30,17,29,46,173,109,282,0.000333,0.519215,24,37383.46732,2076.859295,1557.644472,210.368317,15,6
0,0,36,36,24,45,69,228,134,362,0.000333,0.737095,24,53070.86048,2948.381138,2211.285853,357.172489,18,6
0,0,38,38,24,46,70,235,140,375,0.000333,0.76616,36,82745.32073,4596.962263,2298.481131,364.12295,18,6
0,0,36,36,22,46,68,224,133,357,0.000333,0.724408,22,47810.93316,2656.162953,2173.224234,352.191346,18,6
0,0,41,41,26,49,75,239,149,388,0.000333,0.805594,39,94254.48443,5236.360246,2416.781652,397.332215,17,6
0,0,20,20,20,40,60,107,70,177,0.000333,0.348507,10,10455.19635,580.844242,1045.519635,299.315686,10,6
0,0,17,17,20,38,58,101,64,165,0.000333,0.322189,10,9665.668642,536.981591,966.566864,285.859807,10,6
0,0,28,28,21,39,60,131,86,217,0.000333,0.427265,20,25635.90519,1424.216955,1281.795259,298.369352,15,6
0,0,26,26,20,37,57,123,82,205,0.000333,0.398581,20,23914.84906,1328.602725,1195.742453,279.188336,15,6
