Empty_Lines,Lines_Of_Comments,Lines_Of_Program,Physic_Lines,n1_Number_Of_Distinct_Operators,n2_Number_Of_Distinct_Operands,n_Program_Vocabulary,N1_Total_Number_Of_Operators,N2_Total_Number_Of_Operands,N_Program_Length,B_Number_of_Delivered_Bugs_1,B_Number_of_Delivered_Bugs_2,D_Difficulty,E_Effort,T_Time_Required_To_Program,V_Volume,_N_Calculated_Program_Length,McCab_Number,IsVulnerable
0,0,73,73,28,68,96,488,313,801,0.000333,1.758185,56,295375.0779,16409.72655,5274.554963,548.553411,19,2
0,0,73,73,28,68,96,488,313,801,0.000333,1.758185,56,295375.0779,16409.72655,5274.554963,548.553411,19,2
0,0,63,63,30,78,108,412,278,690,0.000333,1.553624,45,209739.2569,11652.18094,4660.872376,637.468091,13,2
0,0,36,36,29,57,86,227,141,368,0.000333,0.788288,28,66216.23203,3678.679557,2364.86543,473.35618,10,2
0,0,11,11,12,23,35,50,45,95,0.000333,0.162427,6,2923.69132,162.427296,487.281887,147.061475,2,2
0,0,4,4,7,7,14,22,15,37,0.000333,0.046957,6,845.232793,46.957377,140.872132,39.302969,1,2
0,0,4,4,7,5,12,14,9,23,0.000333,0.027485,3,247.362413,13.742356,82.454138,31.261125,1,2
0,0,97,97,27,79,106,503,376,879,0.000333,1.971281,52,307519.7881,17084.43267,5913.84208,626.380642,19,2
0,0,97,97,27,79,106,503,376,879,0.000333,1.971281,52,307519.7881,17084.43267,5913.84208,626.380642,19,2
0,0,3,3,8,11,19,22,15,37,0.000333,0.052391,4,628.693272,34.927404,157.173318,62.053748,1,2
0,0,11,11,12,23,35,50,45,95,0.000333,0.162427,6,2923.69132,162.427296,487.281887,147.061475,2,2
0,0,5,5,12,15,27,34,23,57,0.000333,0.090343,6,1626.171526,90.342863,271.028588,101.622909,2,2
0,0,8,8,19,23,42,51,39,90,0.000333,0.16177,9,4367.777112,242.654284,485.308568,184.752548,2,2
0,0,93,93,29,73,102,646,403,1049,0.000333,2.333125,70,489956.1929,27219.78849,6999.374184,592.738642,23,2
0,0,3,3,9,6,15,11,9,20,0.000333,0.026046,4,312.551248,17.363958,78.137812,44.0391,1,2
0,0,46,46,13,25,38,313,184,497,0.000333,0.869407,42,109545.2389,6085.846606,2608.219974,164.202121,2,2
0,0,51,51,28,73,101,340,213,553,0.000333,1.22733,28,103095.7466,5727.541478,3681.99095,586.463131,14,2
0,0,60,60,19,47,66,359,254,613,0.000333,1.235071,45,166734.6118,9263.033988,3705.213595,341.776299,7,2
0,0,3,3,9,8,17,15,10,25,0.000333,0.034062,4,408.746284,22.708127,102.186571,52.529325,2,2
0,0,3,3,7,8,15,10,10,20,0.000333,0.026046,3,234.413436,13.022969,78.137812,43.651484,1,2
0,0,34,34,16,41,57,224,168,392,0.000333,0.762164,32,73167.77234,4064.876241,2286.492886,283.659632,1,2
0,0,3,3,7,10,17,11,12,23,0.000333,0.031337,3,282.034936,15.668608,94.011645,52.870765,1,2
0,0,9,9,14,18,32,58,40,98,0.000333,0.163333,14,6860,381.111111,490,128.361619,2,2
0,0,8,8,12,18,30,42,27,69,0.000333,0.112858,6,2031.452707,112.858484,338.575451,118.0782,4,2
0,0,8,8,12,14,26,48,27,75,0.000333,0.117511,6,2115.197873,117.510993,352.532979,96.322519,5,2
0,0,52,52,28,46,74,351,252,603,0.000333,1.2481,70,262101.0266,14561.16814,3744.300379,388.689788,9,2
0,0,11,11,12,15,27,55,47,102,0.000333,0.161666,18,8729.973454,484.998525,484.998525,101.622909,2,2
0,0,9,9,12,13,25,46,37,83,0.000333,0.12848,12,4625.280765,256.960043,385.440064,91.125266,2,2
0,0,40,40,21,58,79,260,191,451,0.000333,0.947668,30,85290.15352,4738.341862,2843.005117,432.001564,23,2
0,0,4,4,11,10,21,18,15,33,0.000333,0.048315,5,724.732375,40.26291,144.946475,71.273029,1,2
0,0,12,12,10,12,22,57,36,93,0.000333,0.138242,15,6220.907108,345.60595,414.727141,76.238831,3,2
0,0,12,12,10,12,22,57,36,93,0.000333,0.138242,15,6220.907108,345.60595,414.727141,76.238831,3,2
0,0,44,44,22,47,69,284,207,491,0.000333,0.999762,44,131968.5624,7331.586798,2999.285508,359.173172,8,2
0,0,14,14,16,19,35,70,49,119,0.000333,0.203462,16,9766.154864,542.564159,610.384679,144.710623,1,2
0,0,7,7,8,16,24,41,35,76,0.000333,0.116152,8,2787.6572,154.869844,348.45715,88,7,2
0,0,7,7,8,16,24,41,35,76,0.000333,0.116152,8,2787.6572,154.869844,348.45715,88,7,2
0,0,4,4,6,7,13,16,12,28,0.000333,0.034537,3,310.836936,17.268719,103.612312,35.161259,2,2
0,0,43,43,20,42,62,285,183,468,0.000333,0.928855,40,111462.5549,6192.364163,2786.563873,312.915894,2,2
0,0,11,11,13,25,38,46,43,89,0.000333,0.155689,6,2802.393292,155.688516,467.065549,164.202121,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,3,3,9,8,17,19,15,34,0.000333,0.046325,4,555.894946,30.883053,138.973737,52.529325,1,2
0,0,23,23,21,39,60,123,83,206,0.000333,0.405606,20,24336.38925,1352.021625,1216.819463,298.369352,5,2
0,0,33,33,13,25,38,197,131,328,0.000333,0.573773,30,51639.60673,2868.867041,1721.320224,164.202121,2,2
0,0,48,48,20,41,61,333,220,553,0.000333,1.093233,50,163984.8874,9110.271521,3279.697748,306.098194,2,2
0,0,9,9,14,19,33,55,37,92,0.000333,0.154695,7,3248.589813,180.477212,464.084259,134.013592,2,2
0,0,65,65,21,68,89,333,269,602,0.000333,1.299464,30,116951.7458,6497.319209,3898.391525,506.186139,34,2
0,0,5,5,9,10,19,37,22,59,0.000333,0.083543,8,2005.021786,111.390099,250.627723,61.748606,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,12,12,10,12,22,57,36,93,0.000333,0.138242,15,6220.907108,345.60595,414.727141,76.238831,3,2
0,0,12,12,10,12,22,57,36,93,0.000333,0.138242,15,6220.907108,345.60595,414.727141,76.238831,3,2
0,0,12,12,10,12,22,51,33,84,0.000333,0.124864,10,3745.92256,208.106809,374.592256,76.238831,2,2
0,0,67,67,24,45,69,429,309,738,0.000333,1.502697,72,324582.5555,18032.3642,4508.091049,357.172489,21,2
0,0,34,34,20,33,53,195,157,352,0.000333,0.672076,40,80649.12,4480.506667,2016.228,252.903568,3,2
0,0,42,42,20,34,54,237,191,428,0.000333,0.821031,50,123154.5925,6841.921808,2463.091851,259.412299,5,2
0,0,11,11,12,17,29,54,36,90,0.000333,0.145739,12,5246.619475,291.47886,437.21829,112.506418,2,2
0,0,11,11,12,17,29,54,36,90,0.000333,0.145739,12,5246.619475,291.47886,437.21829,112.506418,2,2
0,0,69,69,28,66,94,450,292,742,0.000333,1.621168,56,272356.276,15130.90422,4863.504928,533.53595,15,2
0,0,3,3,7,8,15,10,10,20,0.000333,0.026046,3,234.413436,13.022969,78.137812,43.651484,1,2
0,0,4,4,9,7,16,30,19,49,0.000333,0.065333,8,1568,87.111111,196,48.180809,1,2
0,0,25,25,18,45,63,173,121,294,0.000333,0.585773,18,31631.76536,1757.320298,1757.320298,322.192039,17,2
0,0,7,7,9,19,28,53,42,95,0.000333,0.152233,8,3653.589741,202.977208,456.698718,109.239948,1,2
0,0,3,3,10,14,24,23,24,47,0.000333,0.071831,5,1077.466188,59.859233,215.493238,86.52225,1,2
0,0,42,42,20,54,74,245,157,402,0.000333,0.832067,20,49924.00506,2773.555837,2496.200253,397.202487,18,2
0,0,59,59,26,65,91,441,263,704,0.000333,1.527162,52,238237.3462,13235.40812,4581.487427,513.665341,16,2
0,0,7,7,8,13,21,33,28,61,0.000333,0.08931,8,2143.450902,119.080606,267.931363,72.105716,6,2
0,0,7,7,8,13,21,33,28,61,0.000333,0.08931,8,2143.450902,119.080606,267.931363,72.105716,6,2
0,0,39,39,18,50,68,256,216,472,0.000333,0.957761,36,103438.1686,5746.564922,2873.282461,357.25146,1,2
0,0,19,19,19,36,55,102,68,170,0.000333,0.32761,9,8845.480362,491.415576,982.831151,266.827923,5,2
0,0,28,28,17,41,58,164,130,294,0.000333,0.574082,24,41333.9139,2296.32855,1722.246413,289.1465,1,2
0,0,19,19,14,34,48,138,125,263,0.000333,0.489615,21,30845.74789,1713.652661,1468.845138,226.276706,1,2
0,0,59,59,25,49,74,406,293,699,0.000333,1.446803,60,260424.4742,14468.02634,4340.407903,391.217187,18,2
0,0,18,18,11,31,42,80,81,161,0.000333,0.289388,10,8681.631051,482.312836,868.163105,191.633833,1,2
0,0,41,41,19,46,65,237,182,419,0.000333,0.841124,27,68131.04707,3785.05817,2523.372114,334.794473,2,2
0,0,4,4,6,7,13,11,11,22,0.000333,0.027137,3,244.229021,13.568279,81.409674,35.161259,1,2
0,0,10,10,16,22,38,51,32,83,0.000333,0.145193,8,3484.623869,193.590215,435.577984,162.107496,3,2
0,0,7,7,8,13,21,33,28,61,0.000333,0.08931,8,2143.450902,119.080606,267.931363,72.105716,6,2
0,0,7,7,8,13,21,33,28,61,0.000333,0.08931,8,2143.450902,119.080606,267.931363,72.105716,6,2
0,0,59,59,28,87,115,361,230,591,0.000333,1.348562,28,113279.1694,6293.287187,4045.68462,695.142022,13,2
0,0,59,59,28,87,115,361,230,591,0.000333,1.348562,28,113279.1694,6293.287187,4045.68462,695.142022,13,2
0,0,7,7,8,16,24,41,35,76,0.000333,0.116152,8,2787.6572,154.869844,348.45715,88,7,2
0,0,12,12,10,12,22,51,33,84,0.000333,0.124864,10,3745.92256,208.106809,374.592256,76.238831,2,2
0,0,33,33,16,41,57,220,159,379,0.000333,0.736888,24,53055.96757,2947.553754,2210.665315,283.659632,1,2
0,0,8,8,12,13,25,43,35,78,0.000333,0.12074,12,4346.649394,241.480522,362.220783,91.125266,2,2
0,0,58,58,27,40,67,289,204,493,0.000333,0.996861,65,194387.8281,10799.32378,2990.581971,341.259086,2,2
1,0,13,14,13,24,37,46,45,91,0.000333,0.15802,6,2844.361538,158.020085,474.060256,158.144816,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,8,8,12,20,32,66,41,107,0.000333,0.178333,12,6420,356.666667,535,129.458112,1,2
0,0,27,27,19,28,47,156,90,246,0.000333,0.455476,27,36893.57915,2049.643286,1366.428858,215.316561,2,2
0,0,9,9,16,17,33,54,35,89,0.000333,0.14965,16,7183.217226,399.067624,448.951077,133.486868,5,2
0,0,4,4,8,12,20,24,17,41,0.000333,0.059066,4,708.796208,39.377567,177.199052,67.01955,1,2
0,0,7,7,10,14,24,40,27,67,0.000333,0.102397,5,1535.962438,85.331247,307.192488,86.52225,1,2
0,0,4,4,6,9,15,15,12,27,0.000333,0.035162,3,316.458138,17.581008,105.486046,44.0391,1,2
0,0,4,4,11,11,22,22,14,36,0.000333,0.053513,5,802.697691,44.594316,160.539538,76.107496,3,2
0,0,3,3,8,7,15,15,9,24,0.000333,0.031255,4,375.061497,20.83675,93.765374,43.651484,3,2
0,0,17,17,22,24,46,117,69,186,0.000333,0.342461,22,22602.41552,1255.689751,1027.382524,208.146596,8,2
0,0,31,31,12,43,55,157,128,285,0.000333,0.549229,12,19772.25022,1098.458346,1647.687518,276.348934,1,2
0,0,5,5,8,10,18,28,17,45,0.000333,0.062549,4,750.5865,41.69925,187.646625,57.219281,1,2
0,0,7,7,9,12,21,34,20,54,0.000333,0.079062,4,948.740563,52.707809,237.185141,71.548875,1,2
0,0,6,6,9,13,22,27,21,48,0.000333,0.071351,4,856.210871,47.567271,214.052718,76.635041,1,2
0,0,3,3,8,7,15,13,9,22,0.000333,0.028651,4,343.806372,19.100354,85.951593,43.651484,1,2
0,0,9,9,16,17,33,54,35,89,0.000333,0.14965,16,7183.217226,399.067624,448.951077,133.486868,5,2
0,0,4,4,8,10,18,26,18,44,0.000333,0.061159,4,733.9068,40.7726,183.4767,57.219281,1,2
0,0,6,6,8,12,20,37,25,62,0.000333,0.08932,8,2143.676335,119.09313,267.959542,67.01955,1,2
0,0,5,5,7,9,16,23,14,37,0.000333,0.049333,3,444,24.666667,148,48.180809,1,2
0,0,5,5,10,9,19,26,15,41,0.000333,0.058055,5,870.82514,48.379174,174.165028,61.748606,1,2
0,0,3,3,8,7,15,15,9,24,0.000333,0.031255,4,375.061497,20.83675,93.765374,43.651484,3,2
0,0,8,8,10,14,24,48,32,80,0.000333,0.122266,10,3667.970001,203.776111,366.797,86.52225,1,2
0,0,5,5,8,16,24,32,27,59,0.000333,0.090171,4,1082.05115,60.113953,270.512788,88,1,2
0,0,46,46,18,48,66,294,177,471,0.000333,0.94897,27,76866.56002,4270.364445,2846.90963,343.13685,7,2
0,0,59,59,19,43,62,355,257,612,0.000333,1.214656,45,163978.5664,9109.920355,3643.968142,314.040007,1,2
0,0,8,8,10,10,20,58,36,94,0.000333,0.13542,15,6093.918614,338.551034,406.261241,66.438562,6,2
0,0,18,18,17,24,41,103,65,168,0.000333,0.300023,16,14401.09979,800.061099,900.068737,179.525968,2,2
0,0,3,3,9,7,16,19,11,30,0.000333,0.04,4,480,26.666667,120,48.180809,1,2
0,0,5,5,7,7,14,16,11,27,0.000333,0.034266,3,308.395749,17.133097,102.798583,39.302969,1,2
0,0,7,7,10,14,24,40,27,67,0.000333,0.102397,5,1535.962438,85.331247,307.192488,86.52225,1,2
0,0,3,3,7,7,14,10,8,18,0.000333,0.022844,3,205.597166,11.422065,68.532389,39.302969,3,2
0,0,7,7,10,14,24,40,27,67,0.000333,0.102397,5,1535.962438,85.331247,307.192488,86.52225,1,2
0,0,5,5,8,10,18,28,17,45,0.000333,0.062549,4,750.5865,41.69925,187.646625,57.219281,1,2
0,0,5,5,10,10,20,29,17,46,0.000333,0.06627,5,994.043462,55.224637,198.808692,66.438562,1,2
0,0,3,3,8,7,15,20,12,32,0.000333,0.041673,4,500.081996,27.782333,125.020499,43.651484,1,2
0,0,5,5,8,10,18,28,17,45,0.000333,0.062549,4,750.5865,41.69925,187.646625,57.219281,1,2
0,0,6,6,7,9,16,20,15,35,0.000333,0.046667,3,420,23.333333,140,48.180809,1,2
0,0,3,3,8,7,15,20,12,32,0.000333,0.041673,4,500.081996,27.782333,125.020499,43.651484,1,2
0,0,69,69,19,55,74,469,344,813,0.000333,1.682762,54,272607.4217,15144.85676,5048.285586,398.685407,6,2
0,0,5,5,8,8,16,19,12,31,0.000333,0.041333,4,496,27.555556,124,48,1,2
0,0,5,5,7,7,14,17,13,30,0.000333,0.038074,3,342.661943,19.036775,114.220648,39.302969,1,2
0,0,5,5,10,10,20,33,18,51,0.000333,0.073473,5,1102.091664,61.227315,220.418333,66.438562,1,2
0,0,5,5,12,12,24,25,16,41,0.000333,0.062661,6,1127.900775,62.661154,187.983463,86.0391,3,2
0,0,9,9,12,11,23,44,28,72,0.000333,0.108565,12,3908.35753,217.130974,325.696461,81.073298,1,2
0,0,6,6,8,11,19,32,20,52,0.000333,0.073631,4,883.568923,49.087162,220.892231,62.053748,1,2
0,0,25,25,14,34,48,155,74,229,0.000333,0.426319,14,17905.38978,994.743877,1278.956413,226.276706,10,2
0,0,6,6,8,11,19,31,18,49,0.000333,0.069383,4,832.593793,46.255211,208.148448,62.053748,1,2
0,0,7,7,10,11,21,31,20,51,0.000333,0.074669,5,1120.040943,62.224497,224.008189,71.273029,1,2
0,0,4,4,9,9,18,22,13,35,0.000333,0.048649,4,583.7895,32.43275,145.947375,57.05865,3,2
0,0,4,4,8,15,23,19,19,38,0.000333,0.057298,4,687.581417,38.198968,171.895354,82.603359,1,2
