Empty_Lines,Lines_Of_Comments,Lines_Of_Program,Physic_Lines,n1_Number_Of_Distinct_Operators,n2_Number_Of_Distinct_Operands,n_Program_Vocabulary,N1_Total_Number_Of_Operators,N2_Total_Number_Of_Operands,N_Program_Length,B_Number_of_Delivered_Bugs_1,B_Number_of_Delivered_Bugs_2,D_Difficulty,E_Effort,T_Time_Required_To_Program,V_Volume,_N_Calculated_Program_Length,McCab_Number,IsVulnerable
0,0,10,10,14,15,29,74,35,109,0.000333,0.176507,14,7413.278999,411.848833,529.519928,111.906328,5,4
0,0,17,17,16,44,60,120,87,207,0.000333,0.407575,8,9781.810826,543.433935,1222.726353,304.214991,6,4
0,0,4,4,7,9,16,16,12,28,0.000333,0.037333,3,336,18.666667,112,48.180809,3,4
0,0,20,20,21,30,51,109,77,186,0.000333,0.35169,20,21101.42227,1172.301237,1055.071114,239.445384,10,4
0,0,3,3,7,9,16,13,11,24,0.000333,0.032,3,288,16,96,48.180809,3,4
0,0,8,8,16,12,28,50,27,77,0.000333,0.123389,16,5922.661264,329.036737,370.166329,107.01955,6,4
0,0,7,7,11,13,24,37,19,56,0.000333,0.085586,5,1283.7895,71.321639,256.7579,86.159464,5,4
0,0,4,4,8,7,15,18,12,30,0.000333,0.039069,4,468.826871,26.045937,117.206718,43.651484,3,4
0,0,7,7,10,16,26,41,25,66,0.000333,0.10341,5,1551.145107,86.174728,310.229021,97.219281,3,4
0,0,4,4,10,7,17,22,10,32,0.000333,0.0436,5,653.994055,36.333003,130.798811,52.870765,3,4
0,0,4,4,8,7,15,18,12,30,0.000333,0.039069,4,468.826871,26.045937,117.206718,43.651484,3,4
0,0,10,10,17,15,32,57,33,90,0.000333,0.15,16,7200,400,450,128.090227,6,4
0,0,3,3,7,9,16,13,11,24,0.000333,0.032,3,288,16,96,48.180809,3,4
0,0,3,3,9,9,18,18,13,31,0.000333,0.043089,4,517.0707,28.72615,129.267675,57.05865,2,4
0,0,4,4,8,7,15,18,12,30,0.000333,0.039069,4,468.826871,26.045937,117.206718,43.651484,3,4
0,0,7,7,11,13,24,37,19,56,0.000333,0.085586,5,1283.7895,71.321639,256.7579,86.159464,5,4
0,0,5,5,9,15,24,25,20,45,0.000333,0.068774,4,825.29325,45.849625,206.323313,87.132684,1,4
