gadget,label
"const app = express();
app.get('/file/:filePath', (req, res) => {
  const filePath = req.params.filePath;
  const newFilePath = filePath + '/etc/passwd';",1
"
app.get('/read/:filePath', (req, res) => {
  const filePath = req.params.filePath;
  const fs = require('fs');",0
"
app.get('/config', (req, res) => {
    const configFilePath = req.query.file;
    const filePath = path.join(__dirname, configFilePath);",1
"
app.get('/config', (req, res) => {
    const configFilePath = req.query.file;
    const filePath = path.join(__dirname, configFilePath);",1
"
app.get('/config', (req, res) => {
    const configFilePath = req.query.file;
    const filePath = path.join(__dirname, configFilePath);",1
"const fs = require('fs');
const path = require('path');
const file = fs.readFileSync(path.join(__dirname, '../uploads/' + req.params.file));",0
"
app.get('/', (req, res) => {
  const userInput = req.query.file;
  const filePath = path.join(__dirname, userInput);",0
"const fs = require('fs');
const path = require('path');
const filePath = './data/' + req.query.filename;
fs.readFile(path.join(filePath), (err, data) => {",0
"var filePath = req.query.file + "".txt"";
fs.readFile(filePath, function(err, data) {",1
"

const filePath = '../uploads/' + req.params.file;
readFile(filePath);",1
"

const filePath = '../' + req.body.path + '/data.txt';
const contents = readFile(filePath);",1
"const fs = require('fs'); const path = require('path'); const fileName = req.query.file; const filePath = path.join(__dirname, fileName); fs.readFile(filePath, 'utf8', (err, data) => { if (err) { console.error('File not found'); return; } res.send(data); });",1
"const fs = require('fs'); const path = require('path'); const userInput = req.query.filename; const sanitizedPath = path.normalize(userInput); const filePath = path.join(__dirname, sanitizedPath); fs.readFile(filePath, 'utf8', (err, data) => { if (err) { console.error('Error reading file'); return; } console.log(data); });",1
"const fs = require('fs'); const path = require('path'); const fileName = req.query.file; const allowedFiles = ['file1.txt', 'file2.txt', 'file3.txt']; if (!allowedFiles.includes(fileName)) { res.status(400).send('Invalid file name'); return; } const filePath = path.join(__dirname, fileName); fs.readFile(filePath, 'utf8', (err, data) => { if (err) { console.error('Error reading file'); return; } res.send(data); });",0
"const fs = require('fs'); const path = require('path'); const fileName = req.query.file; const filePath = path.resolve(__dirname, fileName); if (!filePath.startsWith(__dirname)) { res.status(403).send('Access Denied'); return; } fs.readFile(filePath, 'utf8', (err, data) => { if (err) { console.error('Error reading file'); return; } res.send(data); });",0
